Economy_Code,Economy_Label,1995_US_at_current_prices_per_capita_Value,1996_US_at_current_prices_per_capita_Value,1997_US_at_current_prices_per_capita_Value,1998_US_at_current_prices_per_capita_Value,1999_US_at_current_prices_per_capita_Value,2000_US_at_current_prices_per_capita_Value,2001_US_at_current_prices_per_capita_Value,2002_US_at_current_prices_per_capita_Value,2003_US_at_current_prices_per_capita_Value,2004_US_at_current_prices_per_capita_Value,2005_US_at_current_prices_per_capita_Value,2006_US_at_current_prices_per_capita_Value,2007_US_at_current_prices_per_capita_Value,2008_US_at_current_prices_per_capita_Value,2009_US_at_current_prices_per_capita_Value,2010_US_at_current_prices_per_capita_Value,2011_US_at_current_prices_per_capita_Value,2012_US_at_current_prices_per_capita_Value,2013_US_at_current_prices_per_capita_Value,2014_US_at_current_prices_per_capita_Value,2015_US_at_current_prices_per_capita_Value,2016_US_at_current_prices_per_capita_Value,2017_US_at_current_prices_per_capita_Value,2018_US_at_current_prices_per_capita_Value,2019_US_at_current_prices_per_capita_Value,2020_US_at_current_prices_per_capita_Value,2021_US_at_current_prices_per_capita_Value,2022_US_at_current_prices_per_capita_Value,2023_US_at_current_prices_per_capita_Value
756,Switzerland,50117,48092,41583,42678,41696,38865,39657,42494,49375,54700,56284,59052,65040,74234,71623,76523,90454,85814,87284,88708,83791,82138,82237,85197,84094,85874,93420,93086,99982
760,Syrian Arab Republic,926,1008,1049,1104,1097,1182,1232,1247,1166,1339,1509,1686,1928,2429,2462,2731,2941,2058,1247,1156,1039,694,882,1128,1276,825,548,828,613
762,Tajikistan,205,170,149,211,173,137,169,187,234,306,334,401,517,703,665,737,834,961,1053,1125,957,789,829,834,871,834,897,1030,1132
835,Tanganyika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,Zanzibar and Pemba Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Thailand,2864,3055,2473,1848,2033,2006,1890,2090,2348,2642,2868,3331,3919,4309,4135,4974,5374,5726,6018,5801,5689,5834,6413,7100,7606,6986,7048,6905,7217
626,Timor-Leste,,,,,,,,,535,474,487,465,540,628,687,813,939,1022,1204,1225,1324,1345,1277,1227,1558,1631,2683,2340,2130
768,Togo,377,397,392,360,351,290,281,314,380,396,438,492,607,716,718,704,783,762,826,854,750,773,793,851,826,848,934,890,958
776,Tonga,2084,2215,2135,1889,1932,1860,1616,1747,1981,2278,2471,2727,2842,3149,2987,3457,4083,4318,4114,4049,3801,3989,4379,4543,4807,4606,4473,4650,5173
780,Trinidad and Tobago,4343,4673,4638,4869,5467,6522,7032,7148,8932,10447,12518,14327,16808,21553,14763,16951,19383,19472,20323,20897,18911,16508,16634,16708,16012,14050,16466,20090,18829
788,Tunisia,2161,2314,2202,2285,2376,2199,2236,2321,2726,3067,3147,3323,3727,4255,4080,4092,4258,4188,4300,4428,4015,3848,3619,3628,3529,3553,3875,3811,4231
792,Turkiye,3822,4035,4162,4330,3969,4192,3046,3583,4638,5961,7303,7953,9630,10766,8960,10593,11302,11710,12536,12032,10802,10651,10339,9228,8915,8367,9458,10420,12675
795,Turkmenistan,523,558,618,649,859,1076,1445,1824,2318,2452,2805,3150,3527,4046,3708,4059,5144,6054,6600,7164,5800,5687,6181,6345,6752,6639,7873,9268,9320
796,Turks and Caicos Islands,12656,13575,14277,15406,16403,17055,18326,17804,18859,21246,24122,28734,29444,31454,24597,23094,23627,22634,22412,23996,25736,26946,25615,26785,27740,20831,23093,24839,26682
798,Tuvalu,1268,1337,1425,1374,1451,1450,1385,1614,1894,2203,2181,2277,2653,2907,2574,2958,3548,3402,3410,3422,3301,3775,4167,4469,5118,4977,5903,5909,6222
800,Uganda,346,341,357,333,306,282,285,290,297,345,399,425,508,596,792,948,852,898,664,1071,781,786,786,820,878,856,929,1020,1075
804,Ukraine,975,901,1023,861,654,653,800,903,1076,1401,1875,2366,3160,4018,2607,2928,3523,3804,3974,2904,1988,2047,2467,2895,3423,3505,4510,3910,4704
810,Union of Soviet Socialist Republics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,United Arab Emirates,27356,28693,28347,25215,26194,30256,28108,28116,30047,33813,39225,44922,46454,51308,39208,43265,50120,51301,51101,50275,42685,40888,42290,45689,44572,36987,42413,49508,47112
826,United Kingdom,23116,24353,26705,28206,28688,28201,27829,29991,34345,40246,41969,44365,50226,47231,38600,39448,41944,42324,43250,47247,44782,40810,40391,43015,42488,40055,46425,45308,48699
834,United Republic of Tanzania,243,295,342,363,362,370,367,372,391,419,449,481,541,670,682,723,759,852,958,1018,933,948,983,982,1023,1070,1116,1173,1228
840,United States,28485,29805,31366,32822,34547,36418,37224,38069,39518,41727,44094,46248,47953,48430,47003,48379,49664,51256,52734,54495,56098,57127,59036,61651,63712,62819,69361,75378,79623
858,Uruguay,6682,7066,7436,7837,7371,6988,6383,4150,3671,4169,5284,5952,7105,9196,9565,12139,14617,15800,17924,18021,16948,17010,19185,19208,18265,15789,18079,20989,23161
860,Uzbekistan,706,717,785,746,838,666,441,461,469,551,648,782,1005,1330,1513,1762,2099,2321,2462,2675,2803,2753,1951,1633,1829,1793,2033,2301,2510
548,Vanuatu,1631,1658,1634,1457,1456,1422,1335,1349,1566,1774,1874,2035,2379,2679,2621,2941,3254,3141,3151,3132,2855,2956,3160,3207,3221,3043,3177,3147,3357
862,Venezuela (Bolivarian Rep. of),3374,3012,3711,3870,4071,4776,4920,3652,3226,4269,5432,6739,8332,11250,11584,13668,10844,12901,12414,12001,11240,9355,8083,6815,5159,3723,3961,4583,
704,Viet Nam,288,337,362,361,376,404,419,445,497,616,711,847,1018,1343,1484,1683,1951,2185,2360,2546,2578,2735,2956,3222,3441,3534,3701,4101,4242
887,Yemen,355,421,436,393,457,554,556,588,632,707,836,969,1054,1210,1098,1155,1127,1128,1186,1099,797,583,556,782,370,261,242,288,212
886,"Yemen, Arab Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,"Yemen, Democratic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,"Yugoslavia, Soc. Fed. Rep. of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Zambia,433,400,466,373,350,359,397,394,446,549,711,1052,1119,1376,1136,1451,1696,1666,1726,1679,1272,1217,1485,1464,1259,948,1128,1446,1340
716,Zimbabwe,1008,1207,1218,837,783,733,723,680,633,600,576,558,543,490,735,902,1037,1239,1362,1372,1386,1407,1488,1573,1480,1395,1527,1644,
